name,Uniprot_ID
EarTIL,RMG28746.1
TarTIL,RLE90674.1
AdiTIL,XP_015776371.1
EinTIL,BAN40838.1
NcaTIL,ORY78773.1
TclTIL,PRD32036.1
FveTIL,RBR22522.1
AarTIL,WP_071313236.1
YmaTIL,WP_019211973.1
PagTIL,AAB24234.1
TtiTIL,WP_108870457.1
BlaTIL,WP_104148942.1
LfiTIL,WP_101260018.1
PhiTIL,WP_092012008.1
AsoTIL,WP_139427101.1
CbaTIL,TMB50071.1
PvuTIL,WP_109407456.1
MinTIL,WP_012992776.1
PreTIL,WP_131680130.1
VchTIL,C3LUI5_S1
EcoTIL,WP_001295247.1
